id,name,country,url,image,pdf
129,SMÅLANDSSTÖVARE,SWEDEN,http://www.fci.be/en/nomenclature/SMALANDSSTOVARE-129.html,http://www.fci.be/Nomenclature/Illustrations/129g06.jpg,http://www.fci.be/Nomenclature/Standards/129g06-en.pdf
130,DREVER,SWEDEN,http://www.fci.be/en/nomenclature/DREVER-130.html,http://www.fci.be/Nomenclature/Illustrations/130g06.jpg,http://www.fci.be/Nomenclature/Standards/130g06-en.pdf
131,SCHILLERSTÖVARE,SWEDEN,http://www.fci.be/en/nomenclature/SCHILLERSTOVARE-131.html,http://www.fci.be/Nomenclature/Illustrations/131g06.jpg,http://www.fci.be/Nomenclature/Standards/131g06-en.pdf
132,HAMILTONSTÖVARE,SWEDEN,http://www.fci.be/en/nomenclature/HAMILTONSTOVARE-132.html,http://www.fci.be/Nomenclature/Illustrations/132g06.jpg,http://www.fci.be/Nomenclature/Standards/132g06-en.pdf
133,FRENCH POINTING DOG - GASCOGNE TYPE,FRANCE,http://www.fci.be/en/nomenclature/FRENCH-POINTING-DOG-GASCOGNE-TYPE-133.html,,http://www.fci.be/Nomenclature/Standards/133g07-en.pdf
134,FRENCH POINTING DOG - PYRENEAN TYPE,FRANCE,http://www.fci.be/en/nomenclature/FRENCH-POINTING-DOG-PYRENEAN-TYPE-134.html,,http://www.fci.be/Nomenclature/Standards/134g07-en.pdf
135,SWEDISH LAPPHUND,SWEDEN,http://www.fci.be/en/nomenclature/SWEDISH-LAPPHUND-135.html,http://www.fci.be/Nomenclature/Illustrations/135g05.jpg,http://www.fci.be/Nomenclature/Standards/135g05-en.pdf
136,CAVALIER KING CHARLES SPANIEL,GREAT BRITAIN,http://www.fci.be/en/nomenclature/CAVALIER-KING-CHARLES-SPANIEL-136.html,http://www.fci.be/Nomenclature/Illustrations/136g09.jpg,http://www.fci.be/Nomenclature/Standards/136g09-en.pdf
137,PYRENEAN MOUNTAIN DOG,FRANCE,http://www.fci.be/en/nomenclature/PYRENEAN-MOUNTAIN-DOG-137.html,http://www.fci.be/Nomenclature/Illustrations/137g02.jpg,http://www.fci.be/Nomenclature/Standards/137g02-en.pdf
138,PYRENEAN SHEEPDOG - SMOOTH FACED,FRANCE,http://www.fci.be/en/nomenclature/PYRENEAN-SHEEPDOG-SMOOTH-FACED-138.html,http://www.fci.be/Nomenclature/Illustrations/138g01.jpg,http://www.fci.be/Nomenclature/Standards/138g01-en.pdf
139,IRISH TERRIER,IRELAND,http://www.fci.be/en/nomenclature/IRISH-TERRIER-139.html,,http://www.fci.be/Nomenclature/Standards/139g03-en.pdf
140,BOSTON TERRIER,UNITED STATES OF AMERICA,http://www.fci.be/en/nomenclature/BOSTON-TERRIER-140.html,,http://www.fci.be/Nomenclature/Standards/140g09-en.pdf
